"2021-11-24 10:17:22+00:00";"Worldwide";"BLACKPINK's Lisa Diagnosed With COVID-19 + Other Members Awaiting Results 	https://t.co/FTz5uukM3L https://t.co/VeT1gf2P9F"
"2021-11-24 00:34:50+00:00";"East Bay, CA & DC (CA-15)";"Last Thanksgiving there was no vaccine and it was not safe for families to celebrate. This year, 80% of Americans have had at least one shot and millions are traveling to see loved ones. That’s the difference between Biden and Trump. #DemocratsDeliver"
"2021-11-23 12:17:21+00:00";"Brussels, Belgium";"Data shows us that the higher the vaccination rate, the lower the death rate. 		#COVID19 #VaccinesWork https://t.co/mORrrQOPsj"
"2021-11-25 02:51:37+00:00";"USA";"🏴󠁧󠁢󠁳󠁣󠁴󠁿 27 y.o. Rashelle Baird from Brechin #Scotland passed away from COVID on Nov 19, 2021 - one year after her uncle died from the virus. The mother-of-three put off getting vaccinated because she was busy caring for her young children #SoulsLostToCovid  https://t.co/2Kw4Ud0hCx https://t.co/niOTIZYMcn"
"2021-11-25 02:51:40+00:00";"Boogie Down ";"Wow what a group of stupid doctors!!!                                 7 anti-vax doctors catch COVID after attending Florida conference https://t.co/UE1IqzBEuX"
"2021-11-25 02:51:41+00:00";"United States";"Texas doctor suspended, banned from giving ivermectin to critically ill COVID patient - LifeSite https://t.co/wJYE6kJS18"
"2021-11-25 02:51:42+00:00";"Hell";"official diagnosis from doc: Dad has covid. Fuck."
"2021-11-25 02:51:43+00:00";"any prns || 14 || sag || multi";"I hope she turns out negative soon and she is okay rn :(	because covid is no joke, take care lisa &lt;3 https://t.co/7CkoTtSAAf"
"2021-11-25 02:51:44+00:00";"New York NY";"The Vaccinated Aren't ‘Just as Likely’ to Spread COVID - The Atlantic https://t.co/Cl29lhYHEI"
"2021-11-25 02:51:43+00:00";"風磨健*:ﾟ*";"oh my i'll get my first dose for covid this monday... wish me luck!"
"2021-11-25 02:51:45+00:00";"México 🇲🇽 ";"If the US keeps its economy working while Europe goes through yet another Covid wave complete with lockdowns... if the sanctions on Nord Stream 2 increase european gas prices... if Ukraine starts a war... lots of euros will be moving into the dollar and cryptos in the short term"
"2021-11-25 02:51:45+00:00";"Singapore";"Oh finally. https://t.co/wx3gE6rNgW"
"2021-11-25 02:51:45+00:00";"Green Bay, WI";"CORRECTION: @AaronRodgers12 does not have COVID Toe… he has a fractured toe… How the hell did he do that?"
"2021-11-25 02:51:46+00:00";"International";"Punjab CM Channi Urges PM Modi to Give Rs 4 Lakh Ex-gratia to Kin of Covid Victims https://t.co/pALwjPC9vU"
"2021-11-25 02:51:46+00:00";"blackpink";"YG Entertainment reported that JISOO, JENNIE &amp; ROSÉ have tested negative for Covid-19. Let’s continue to pray for their continuous safety and for LISA’s fast recovery 🤞		We love you all pinks!💌 https://t.co/OWMGCkAobn"
"2021-11-25 02:51:45+00:00";"Houston, TX";"Retweet this with a pic of you just before Covid hit https://t.co/wujX6RAS9t https://t.co/v1P0wP7fVV"
"2021-11-25 02:51:48+00:00";"Kolkata";"BREAKING: Germany reports more than 70,000 new coronavirus cases, by far the biggest one-day increase on record, with some areas yet to report. 		70% first dose vaccinated	68% second dose vaccinated 	8% booster dose also done 🙄"
"2021-11-25 02:51:47+00:00";"Saskatoon";"Sask. doctors will have to tell patients if they don't have the COVID-19 vaccine https://t.co/dk3j9eVSVU @picardonhealth @globeandmail @TorontoStar @edmontonjournal"
"2021-11-25 02:51:50+00:00";"South Dakota";"Cooking for Thanksgiving hits differently when you have to do it alone. When my children can be vaccinated, I can’t wait for the coziness/security of being in the same room w/all the hustle &amp; bustle around me. 🦃 Thankful for video chat to still be “in the room” this year. https://t.co/i4w3oBVKdb"
"2021-11-25 02:51:53+00:00";"Somewhere on the beach";"1719060 - Browse the Reports - OpenVAERS https://t.co/DGiVMvDWo5"
"2021-11-25 02:51:55+00:00";"Basel, Switzerland";"""Preventive #Cardiology in the #Digital and COVID-19 Era: A Brave New World within the Veterans Health Administration"" from Dr. Sohil Khanna et al.	#COVID19 	More details can be found at:	👉	https://t.co/77ITN7G5B7 https://t.co/fZChNJbAvS"
"2021-11-25 02:51:55+00:00";"Business: tgorman83@gmail.com";"Aaron Rodgers desperate to maintain his status as footballmin after he tries to and fails to claim he's smart while rejecting the vaccine that is making it possible for people to do things again https://t.co/cFRT1tJgqR"
"2021-11-25 02:51:59+00:00";"Austintown, OH";"i did not get vaccine all yr since I know the bitch  EX wife would B 2 happy if I did 🤣 		Now she say i can’t B with in 6 ft of her all day 2morrpw.		Don’t have 2 ask me twice — MISSION ACCOMPLIDH!! 🤣 🤣 🤣"
"2021-11-25 02:52:00+00:00";"Florida, USA";"I have so much magic on my feed and just want you all to have fun, be safe and stay Golden. 		I'm fully vaccinated. No booster shot yet but I'll be getting soon. 		Pass it on, Magic Twitter. Let's show how easy it is to assuage the concerns of our peers. https://t.co/vpdtaCU3Qc"
"2021-11-25 02:52:02+00:00";"New Corella, Davao Region";"Done vaccine."
"2021-11-25 02:52:03+00:00";"they she he.";"Just had a whole asa fight with my mom cause she was acting like a child and wouldn't get her covid test"
"2021-11-25 02:52:07+00:00";"HALF FILO !!";"very random but im finally done with my second dose of vaccine !! yey🥳"
"2021-11-25 02:52:07+00:00";"Thailand";"Over 4,000 healthcare workers in Thailand infected during Covid-19 pandemic - more at https://t.co/XzUxDyYogJ #Thailand	The Department of Disease Control says up to 4,270 Thai healthcare workers have contracted Covid-19 since the start of the pandemic in February 2020. Accord... https://t.co/WCJ8m4VWAt"
"2021-11-25 02:52:09+00:00";"California, USA";"Having to have Vaccine Exemptions is against the US Constitution. CHANGE MY MIND! https://t.co/f0RxuEbqHO"
"2021-11-25 02:52:10+00:00";"East Tennessee";"It’s never going to end.		“Scientists warn of new Covid variant with high number of mutations” https://t.co/v1ZPoNi8ur https://t.co/RPldOmTKNF"
"2021-11-25 02:52:11+00:00";"she/her 17 south asian";"so upset everything i like is out of stock or online and covid keeps messing up deliveries 😞"
"2021-11-25 02:52:12+00:00";"🌎🇸🇬";"Must always take care! Even if you're fully vaccinated, must not take things for granted na ♥️ https://t.co/pCLTNNtbiV"
